,transcription,emotions,audio,label
0,Excuse me.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,Neutral
1,Yeah.,"{'Neutral': 0.8, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,Neutral
2,Is there a problem?,"{'Neutral': 0.6, 'Surprise': 0.2, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,Neutral
5,Well what's the problem? Let me change it.,"{'Neutral': 0.6, 'Frustration': 0.2, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,Neutral
6,What? I'm getting an ID. This is why I'm here. My wallet was stolen.,"{'Neutral': 0.2, 'Frustration': 0.6, 'Anger': 0.2}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,Frustration
7,How am I supposed to get an ID without an ID? How does a person get an ID in the first place?,"{'Frustration': 0.5714285714285714, 'Disgust': 0.14285714285714285, 'Anger': 0.2857142857142857}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,Frustration
8,I'm here to get an ID.,"{'Frustration': 0.6, 'Anger': 0.4}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,Frustration
9,Like what? Like a birth certificate?,"{'Frustration': 0.5714285714285714, 'Disgust': 0.14285714285714285, 'Anger': 0.2857142857142857}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,Frustration
11,"Yes but my wallet was stolen, I don't have anything. I don't have any credit cards, I don't have my ID. Don't you have things on file here?","{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,Frustration
12,That's out of control.,"{'Anger': 0.5, 'Disgust': 0.16666666666666666, 'Frustration': 0.16666666666666666, 'Surprise': 0.16666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,Anger
13,How long have you been working here?,"{'Frustration': 0.5714285714285714, 'Surprise': 0.14285714285714285, 'Excited': 0.14285714285714285, 'Anger': 0.14285714285714285}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,Frustration
